,"n: 50000, k: 2500","n: 250000, k: 2500","n: 1000000, k: 2500"
0,0.0,0.39880000000000004,0.261
1,0.0,0.3888,0.26120000000000004
2,0.0,0.3924,0.2581
3,0.0,0.386,0.2632
4,0.0,0.3896,0.2593
5,0.0,0.3816,0.26180000000000003
6,0.0,0.382,0.2595
7,0.0,0.3792,0.2593
8,0.0,0.386,0.2623
9,0.0,0.3872,0.26489999999999997
10,0.0,0.39880000000000004,0.2607
11,0.0,0.3816,0.261
12,0.0,0.3856,0.26380000000000003
13,0.0,0.3876,0.2615
14,0.0,0.394,0.26280000000000003
15,0.0,0.382,0.2633
16,0.0,0.39480000000000004,0.2596
17,0.0,0.36879999999999996,0.265
18,0.0,0.3928,0.26489999999999997
19,0.0,0.3944,0.2603
20,0.0,0.3716,0.2647
21,0.0,0.3848,0.2656
22,0.0,0.3908,0.264
23,0.0,0.3768,0.262
24,0.0,0.38639999999999997,0.2614
25,0.0,0.38639999999999997,0.26480000000000004
26,0.0,0.3924,0.2597
27,0.0,0.37360000000000004,0.26489999999999997
28,0.0,0.38839999999999997,0.2604
29,0.0,0.3964,0.26220000000000004
30,0.0,0.3832,0.2602
31,0.0,0.3836,0.265
32,0.0,0.38839999999999997,0.2601
33,0.0,0.37360000000000004,0.2646
34,0.0,0.3852,0.2637
35,0.0,0.3932,0.2603
36,0.0,0.3856,0.262
37,0.0,0.37520000000000003,0.26280000000000003
38,0.0,0.37520000000000003,0.26
39,0.0,0.3908,0.2583
40,0.0,0.3788,0.2616
41,0.0,0.3776,0.2614
42,0.0,0.3908,0.26220000000000004
43,0.0,0.3812,0.2614
44,0.0,0.3896,0.2644
45,0.0,0.386,0.2647
46,0.0,0.3784,0.2661
47,0.0,0.38839999999999997,0.26120000000000004
48,0.0,0.3812,0.26120000000000004
49,0.0,0.3756,0.2591
50,0.0,0.3876,0.2623
51,0.0,0.3936,0.2603
52,0.0,0.3876,0.2614
53,0.0,0.3892,0.2624
54,0.0,0.3964,0.2624
55,0.0,0.3792,0.2607
56,0.0,0.3836,0.26
57,0.0,0.3748,0.2617
58,0.0,0.4004,0.2609
59,0.0,0.388,0.2643
60,0.0,0.3832,0.2609
61,0.0,0.3876,0.2627
62,0.0,0.3992,0.2615
63,0.0,0.3812,0.2646
64,0.0,0.38999999999999996,0.2607
65,0.0,0.3964,0.2632
66,0.0,0.3792,0.2634
67,0.0,0.3836,0.2624
68,0.0,0.3828,0.2644
69,0.0,0.3844,0.2637
70,0.0,0.3848,0.2602
71,0.0,0.38,0.2625
72,0.0,0.4004,0.2579
73,0.0,0.3964,0.2643
74,0.0,0.3744,0.2572
75,0.0,0.3852,0.2617
76,0.0,0.374,0.267
77,0.0,0.3916,0.2626
78,0.0,0.38,0.2605
79,0.0,0.3932,0.2634
80,0.0,0.3892,0.26189999999999997
81,0.0,0.3708,0.2643
82,0.0,0.3788,0.2603
83,0.0,0.3944,0.26280000000000003
84,0.0,0.3868,0.25639999999999996
85,0.0,0.38839999999999997,0.2586
86,0.0,0.3844,0.2653
87,0.0,0.39039999999999997,0.26280000000000003
88,0.0,0.3836,0.2636
89,0.0,0.382,0.2627
90,0.0,0.3912,0.26280000000000003
91,0.0,0.3832,0.26289999999999997
92,0.0,0.378,0.2664
93,0.0,0.3912,0.2624
94,0.0,0.38,0.2644
95,0.0,0.378,0.263
96,0.0,0.382,0.2597
97,0.0,0.38839999999999997,0.25980000000000003
98,0.0,0.3768,0.2616
99,0.0,0.3832,0.2604
