,"n: 50000, k: 500","n: 250000, k: 500","n: 1000000, k: 500"
0,0.398,0.21359999999999998,0.0544
1,0.38,0.216,0.054299999999999994
2,0.392,0.2096,0.054
3,0.416,0.21320000000000003,0.0546
4,0.374,0.2124,0.055099999999999996
5,0.386,0.212,0.0542
6,0.366,0.2168,0.054
7,0.404,0.21320000000000003,0.0523
8,0.38,0.208,0.055
9,0.382,0.21519999999999997,0.055
10,0.428,0.2072,0.055099999999999996
11,0.392,0.21159999999999998,0.0544
12,0.358,0.2184,0.0536
13,0.406,0.212,0.05280000000000001
14,0.41200000000000003,0.2088,0.0557
15,0.372,0.214,0.0547
16,0.41200000000000003,0.21280000000000002,0.0546
17,0.362,0.218,0.055400000000000005
18,0.38,0.21480000000000002,0.054299999999999994
19,0.384,0.2176,0.0546
20,0.384,0.2124,0.0542
21,0.38999999999999996,0.2164,0.055400000000000005
22,0.35200000000000004,0.21359999999999998,0.0545
23,0.356,0.2176,0.052899999999999996
24,0.392,0.2104,0.0544
25,0.382,0.2072,0.0531
26,0.396,0.21080000000000002,0.0546
27,0.396,0.2096,0.053899999999999997
28,0.406,0.212,0.053
29,0.382,0.21,0.05280000000000001
30,0.41200000000000003,0.2124,0.053399999999999996
31,0.356,0.20479999999999998,0.0526
32,0.422,0.2104,0.055099999999999996
33,0.386,0.214,0.0562
34,0.366,0.2168,0.053700000000000005
35,0.414,0.2164,0.0522
36,0.406,0.2208,0.053899999999999997
37,0.402,0.218,0.0541
38,0.41000000000000003,0.21280000000000002,0.0531
39,0.388,0.2084,0.0541
40,0.394,0.208,0.053700000000000005
41,0.406,0.21,0.055
42,0.418,0.2164,0.0557
43,0.414,0.21280000000000002,0.0545
44,0.384,0.21,0.055400000000000005
45,0.41000000000000003,0.2144,0.054
46,0.40800000000000003,0.21120000000000003,0.0535
47,0.396,0.21280000000000002,0.054900000000000004
48,0.392,0.2104,0.0535
49,0.384,0.21320000000000003,0.0556
50,0.38,0.21519999999999997,0.0544
51,0.394,0.2088,0.0552
52,0.344,0.21280000000000002,0.053700000000000005
53,0.37,0.2076,0.0557
54,0.398,0.2076,0.0542
55,0.42,0.21559999999999999,0.054299999999999994
56,0.366,0.21359999999999998,0.0546
57,0.384,0.20679999999999998,0.054299999999999994
58,0.406,0.21559999999999999,0.0553
59,0.392,0.21719999999999998,0.053399999999999996
60,0.416,0.2084,0.054900000000000004
61,0.404,0.21280000000000002,0.054
62,0.382,0.21320000000000003,0.053399999999999996
63,0.374,0.21519999999999997,0.055
64,0.41000000000000003,0.21120000000000003,0.0544
65,0.364,0.2144,0.0542
66,0.364,0.2164,0.054299999999999994
67,0.396,0.21960000000000002,0.0525
68,0.386,0.21320000000000003,0.053
69,0.41000000000000003,0.216,0.053
70,0.402,0.2144,0.0519
71,0.406,0.21,0.0547
72,0.394,0.21120000000000003,0.0552
73,0.388,0.21480000000000002,0.053899999999999997
74,0.426,0.2164,0.0552
75,0.362,0.21080000000000002,0.054900000000000004
76,0.362,0.21480000000000002,0.05330000000000001
77,0.404,0.21,0.055099999999999996
78,0.392,0.21519999999999997,0.0552
79,0.37,0.2124,0.0531
80,0.396,0.21159999999999998,0.0548
81,0.368,0.2164,0.053
82,0.404,0.2188,0.0536
83,0.384,0.2104,0.054
84,0.368,0.2096,0.0548
85,0.384,0.2092,0.054900000000000004
86,0.35400000000000004,0.21480000000000002,0.0536
87,0.382,0.21,0.055099999999999996
88,0.38,0.21080000000000002,0.054299999999999994
89,0.388,0.2104,0.0546
90,0.41000000000000003,0.2124,0.0553
91,0.364,0.21320000000000003,0.053700000000000005
92,0.364,0.21280000000000002,0.052700000000000004
93,0.406,0.216,0.0542
94,0.40800000000000003,0.2124,0.0553
95,0.37,0.21359999999999998,0.0535
96,0.4,0.21480000000000002,0.052899999999999996
97,0.384,0.21080000000000002,0.0553
98,0.394,0.2188,0.0548
99,0.378,0.2176,0.055400000000000005
