,v
10,"[0, 0.02020747526955443, 0.02023293249405492, 0.020258328916441446, 0.020283190107099964, 0.020308585412133377, 0.02033754668583419, 0.02029683714302366, 0.018827526627454405, 0.017231494160324243, 0.015574605042154261, 0.013921482662431765, 0.012348780898261065, 0.010967782148153369, 0.009845040079578999, 0.00895727542061748, 0.008241243959494307, 0.007639699111675692, 0.007112687704722875, 0.006634875307043556, 0.006186381049753785, 0.005750443931630992, 0.005308472710518443, 0.004840644906243047, 0.00434766377821368, 0.0038057529760771465, 0.0032603685700301932, 0.0030837048935548074, 0.0030136726451796287, 0.002946771995363564, 0.0029435039618922712, 0.003048749707114428, 0.0034703767922551186, 0.004357617118871602, 0.006080351119012086, 0.006583668377974799, 0.006423142348004405, 0.004649142141334639, 0.010147137983304477, 0.019138581095729763, 0.020116592313452586, 0.020010082350647863, 0.020001266487828264, 0.020729973490663186, 0.020521194632065465, 0.02078965637598807, 0.020758159784810763, 0.02219171825420623, 0.02579432803696205, 0.020651863899930085, 0.022503473558168872, 0.020626176307135556, 0.020879575811202304, 0.021418708890418078, 0.024752696597084095, 0.02656067559389965, 0.02566217036202768, 0.024036290166255636, 0.02111447369375571, 0.020036334372625586]"
11,"[0, 0.004350999036243848, 0.004627635385846046, 0.00492653580441756, 0.005258997147449917, 0.005640835244836094, 0.006096380529881884, 0.006640486484877515, 0.006833310270256145, 0.007025332722153209, 0.007217003435690973, 0.007409174367124214, 0.007603199649119526, 0.0078011885718036, 0.008006556055229042, 0.008225327033706683, 0.008472791698880797, 0.008860978954577185, 0.011340654682464014, 0.01174196389834056, 0.012083190669076618, 0.012454749301976334, 0.012885194492328979, 0.013441187409164005, 0.01437617535708543, 0.01604980239052439, 0.017894970679574535, 0.018727552869844014, 0.019127609627016838, 0.019606214193212675, 0.020012244182447333, 0.020018976546683626, 0.02002525084410639, 0.020032769987659283, 0.020037218250124555, 0.020041374554290014, 0.02003619685068562, 0.020030368007460587, 0.020006607367941884, 0.01643513831843066, 0.013112896152383174, 0.013576154382654899, 0.01055197392898929, 0.008375849788617166, 0.011940935328034624, 0.013624316393395501, 0.010101239027401761, 0.011315942274555091, 0.017994678175080898, 0.010622135013108616, 0.012758596201124704, 0.011347079420816825, 0.011748820834065993, 0.01152042293968747, 0.012333486890320646, 0.013364877728703697, 0.014633740063651982, 0.012055035699524711, 0.013840395402688221, 0.009914022328676709]"
12,"[0, 0.0039720115025865315, 0.004314385842326521, 0.004678012878215117, 0.005075841917493775, 0.005525245685304076, 0.006052130479464633, 0.00667350081145942, 0.006944017579369414, 0.007205886566365933, 0.007459121231863882, 0.007703643280128332, 0.007938824070572077, 0.008163844568677109, 0.008378966912633535, 0.008586112764037312, 0.008788332695826852, 0.008989220051863023, 0.009192692296156916, 0.009402555349566565, 0.009624165705301358, 0.009864106977358521, 0.010135662584634043, 0.010485256915247055, 0.011101011631533047, 0.012237647834013274, 0.013408451588129183, 0.013664584030035383, 0.013467804579034051, 0.013173885285790134, 0.012656317865163065, 0.011336046463407773, 0.0100000731250309, 0.010300304166523258, 0.009148592160080108, 0.009034249904421225, 0.008565658669194861, 0.005577952040701469, 0.014535334358264778, 0.017079378408368345, 0.014802490341307243, 0.015087790747274683, 0.011545890501488023, 0.01297788487089725, 0.00962749226424606, 0.012453890828478214, 0.007996127907732591, 0.007230987764599255, 0.011316527029613548, 0.01051326978805799, 0.011629246653422833, 0.01135195424994127, 0.010181041492610156, 0.011672421603370505, 0.010544304403253988, 0.013459089633316159, 0.01219005212437847, 0.011292147186753806, 0.011486318543556907, 0.00958251721320855]"
13,"[0, 0.0011644387979151598, 0.0012760915886989525, 0.0014256297202421648, 0.0016278894989861536, 0.0019039697421822795, 0.002283573543891335, 0.0027959909643383196, 0.0032421861956191257, 0.003682950198780364, 0.004062599292989381, 0.004358203978451259, 0.004581458363514664, 0.0047563473064498865, 0.0049033147297123745, 0.005035490176371297, 0.005160551014678487, 0.005283235121456461, 0.005406900639359471, 0.0055336368710881025, 0.005666925567381633, 0.00581043470514769, 0.005971826022594894, 0.00617865807087223, 0.0065426439225347854, 0.00721476121374598, 0.007908199356065541, 0.008070412509592138, 0.007980102115546497, 0.007875897743918978, 0.007748969822724476, 0.007519579243311044, 0.007397491170263836, 0.00739607420320559, 0.007465070932718892, 0.00763982427898504, 0.007888087039830844, 0.00830341614572436, 0.00910819209148352, 0.0077581931067521245, 0.007111034856760318, 0.007534317832798868, 0.007425467806401634, 0.0062667475558801115, 0.0071667443163987345, 0.006150906619161555, 0.0073529573609408495, 0.004861698298759334, 0.005059662523563392, 0.010814736754693811, 0.004246491180659473, 0.008311973422120979, 0.0031668862597677818, 0.003175670809696916, 0.00390765277113746, 0.007564822734933537, 0.005008794765117009, 0.005671672669434398, 0.005590016485384536, 0.0058151612636105875]"
14,"[0, 0.009551302617529239, 0.009758608039542281, 0.00997400736818358, 0.010211872016703103, 0.010490340131320722, 0.010836393788041182, 0.011250542838520198, 0.010994281831119123, 0.010722700887756636, 0.010436279789530073, 0.01013828125784213, 0.009835551198565669, 0.009538135773556191, 0.009257391144751936, 0.009003325851961206, 0.008782692352541411, 0.008598704350208696, 0.008452045305577251, 0.008342591363025405, 0.0082693664119388, 0.008233574140608692, 0.008242672022243405, 0.008331335593283615, 0.008644051557422155, 0.009369937247775548, 0.01014310832169911, 0.010304946731600527, 0.01023755650764894, 0.010257049452247789, 0.010325905604833594, 0.010568670181572943, 0.010811389194925353, 0.009576213996382218, 0.00981112458144761, 0.009003996162053647, 0.00859466944161064, 0.009632224571575409, 0.007161011518717504, 0.011418734279702667, 0.011824180704986054, 0.012042875918018172, 0.009918494315192946, 0.009999250718809277, 0.009803764027352679, 0.012828281812773883, 0.008713337514125296, 0.0012379962874142975, 0.00783575214680519, 0.013048472477522489, 0.0102404061407017, 0.012858598023793485, 0.006603984143662387, 0.008122187146915181, 0.009133682819840972, 0.01056086707402892, 0.011612333259547948, 0.010478647976505174, 0.011436454604726315, 0.009530774367934421]"
15,"[0, 0.00886914138671836, 0.009084625875995405, 0.009311637114699832, 0.009565916601899429, 0.009867982746842129, 0.010248324722946935, 0.010715113547931036, 0.010569766528638778, 0.01043024929189403, 0.010298042596772508, 0.010174390276364865, 0.010060307356763503, 0.009956388944491487, 0.00986256661393633, 0.0097784623044257, 0.009703975483615523, 0.009639553290370547, 0.009586204155915377, 0.009544982964512446, 0.009518929835601186, 0.009512452724435318, 0.00953681620726651, 0.009634391173077728, 0.009973889662744732, 0.010773905285477337, 0.011615106765855886, 0.011740678289893194, 0.01159044000996311, 0.0115055677451834, 0.011418144335158219, 0.01116947535929518, 0.011017466206589558, 0.01097401372016822, 0.010968068421692356, 0.0105252521057021, 0.009677717387518079, 0.008602051055004098, 0.008708678423801297, 0.011058614893450882, 0.010722806981657371, 0.01050157201799595, 0.009030844058871525, 0.008097159764819993, 0.009307494213877675, 0.0120075987199734, 0.008178215425589186, 0.0013915738639517028, 0.0077172775726445444, 0.012447967846003622, 0.009086306026580816, 0.012411435136367804, 0.005434499267044005, 0.007511636640578538, 0.007702083711501532, 0.009966147273857631, 0.009991453097731327, 0.009019091522069535, 0.010239771982236785, 0.008632220145449765]"
16,"[0, 0.007783572947429853, 0.007845434134472666, 0.007897676790551436, 0.00794945841289551, 0.00801156219663691, 0.008099229119271308, 0.008204661031367041, 0.007793916585798672, 0.007370591247430242, 0.006936576265060865, 0.0064957019449999685, 0.0060544557258091465, 0.0056220815001589135, 0.005209517357517786, 0.004827508409814919, 0.004485003553700097, 0.004188270827164967, 0.0039406363632016085, 0.003743218021964452, 0.003593761648466443, 0.0034900609804089685, 0.003432172637296581, 0.0034318201702540447, 0.0035467925474026068, 0.0038553035806285292, 0.004206765518583107, 0.004312693972098076, 0.004325118629580728, 0.004343690663931138, 0.004372854543767209, 0.004304620875144187, 0.004319527720877634, 0.004572609101827289, 0.004918418542021581, 0.006512001651199807, 0.005192042199415922, 0.006217011836682458, 0.007874332463237986, 0.013036406365544567, 0.013851908952384558, 0.013957346967560765, 0.011970055591046155, 0.013873907763034777, 0.010974537586406138, 0.014691168216280543, 0.010056238228624895, 0.0024353996279891884, 0.010487445369834588, 0.014374186791244279, 0.0135716656446032, 0.014654503542267721, 0.00978685527028467, 0.010475966644100873, 0.012882866578799949, 0.01507422934147531, 0.01494866108208058, 0.01348785694587227, 0.013995561325541141, 0.011652678165328872]"
17,"[0, 0.006401953496609982, 0.006200650453207762, 0.006150027889307476, 0.006203171010927773, 0.00631983054365309, 0.0064983286286459324, 0.006734741157985254, 0.006589112362163004, 0.00645487728156486, 0.006331997866141221, 0.006221483659909303, 0.00612540679905007, 0.006046413858828632, 0.00598663937595105, 0.005947256806456163, 0.005928964040910446, 0.005932559003584145, 0.0059592302531380975, 0.00601034212153114, 0.006088794673524208, 0.006198740390728033, 0.006349394636062635, 0.006572267107578907, 0.006991580761798222, 0.007786970283976722, 0.008696070136660222, 0.009146284053682965, 0.009381924667692793, 0.009640917932646377, 0.009821200466822357, 0.00978322969901398, 0.00970895449063114, 0.009723310601338436, 0.009792574305256404, 0.009830895016354651, 0.009466040878104195, 0.00913245603074008, 0.00812306020700081, 0.011062958883602082, 0.010150208977371912, 0.009523328405481792, 0.008712111334449144, 0.007621860341087176, 0.009006527306606315, 0.011686843634514566, 0.007944382374130827, 0.0011872653537787394, 0.00785870979234757, 0.012263984973281865, 0.00887592371246815, 0.012304273494232059, 0.005165332537237726, 0.007699785477184766, 0.007354028302829422, 0.009862747313063263, 0.009554243036993948, 0.008498418200183598, 0.009971191744553225, 0.008397091830858206]"
18,"[0, 0.0009437969631386678, 0.0009706033756392324, 0.0010012106236819685, 0.0010378315898063597, 0.00108378322649448, 0.0011440672905210952, 0.0012221898794491058, 0.0012400742353176593, 0.0012662869651560362, 0.001302007445248763, 0.001348758887138824, 0.001408165903408873, 0.0014807741986047908, 0.0015651273289405611, 0.0016584392098710962, 0.0017578690741882072, 0.0018611585247419772, 0.0019667478022914165, 0.0020741945475852355, 0.0021830100131982177, 0.002294186942048615, 0.0024113165865267375, 0.002547457069607919, 0.0027532693265310175, 0.0031024707841530172, 0.0034860902101669427, 0.0036671648702505263, 0.003774034054405664, 0.003902037684275836, 0.0040641293756892155, 0.004072096308799408, 0.0038545264363230034, 0.002954280873859996, 0.0018178330849379642, 0.0012050772285149842, 0.0007197815588089262, 0.0004702031132710053, 0.0007727059343546586, 0.0024053076403668197, 0.002951299877868132, 0.0038686566553175704, 0.00274397124392902, 0.003305583923291823, 0.002381365728303204, 0.003072101238179602, 0.0022411265392277453, 0.003060402778721916, 0.00358754189688841, 0.002533706775762098, 0.002089569675444781, 0.0025605906949369654, 0.001688157674802451, 0.002826650482805299, 0.001869426915854217, 0.0031582318497695846, 0.0023858947076189473, 0.002822266264860673, 0.0025273848258916577, 0.002245807913360832]"
19,"[0, 0.0035910771393117625, 0.003848180985992021, 0.004127859267873359, 0.004438508158097221, 0.004792016411411745, 0.005207127399201734, 0.005693235277035026, 0.005866223683030988, 0.006017977583607707, 0.0061425168593032785, 0.0062355073534147275, 0.006296776098744102, 0.006331293239088071, 0.006347065583273856, 0.006351720001842963, 0.0063512057896292435, 0.006350393371600008, 0.006353886340610949, 0.006366863476215295, 0.006393515663645239, 0.0064392073686686995, 0.00651308705530203, 0.006644543346759398, 0.00695031309482954, 0.007588519701386349, 0.008288923491394895, 0.008535408012195841, 0.008604147007530883, 0.008739460305445142, 0.008835931374744213, 0.008782144537276935, 0.00869401300134742, 0.008354959295447313, 0.007893878497359038, 0.005949850614432289, 0.006742235350791304, 0.0030953540795510015, 0.016645388310083418, 0.020517046078594482, 0.018451515301469244, 0.019045491537611866, 0.01435875444228353, 0.01635907033523664, 0.012061463936718019, 0.015396441895829704, 0.009972592723490449, 0.008854625957875917, 0.015543742184481036, 0.009589046203002842, 0.0189006277418035, 0.008524382498592943, 0.005584579920743596, 0.010395941623140814, 0.018214777469784837, 0.011545022728770428, 0.017306230751913235, 0.010935789498035699, 0.012566314025559385, 0.00967779826407624]"
