,v
10,"[0, 0.00908888416786171, 0.009132531884001958, 0.009178964393409119, 0.009228539837769764, 0.009281667563862, 0.009338896221818214, 0.00940121445367652, 0.009471917577652198, 0.009581136975681885, 0.009743233051977072, 0.009842189857208148, 0.009940013590156022, 0.010046885496458787, 0.010166581365325118, 0.01030286347668853, 0.010414480529871756, 0.01050032265295546, 0.010591840218962293, 0.010689579511017587, 0.010794124133212572, 0.010906078213972204, 0.011026094534233711, 0.011154616214327031, 0.011291239993539046, 0.011433364845548166, 0.011581493859205816, 0.01173884711677168, 0.011874010548381782, 0.011974587491918908, 0.012072746856107364, 0.012118744863827947, 0.01196514237920798, 0.012575485236887375, 0.011290664795508496, 0.009201800036410348, 0.0022083485843601455, 0.001187518588765608, 0.0021910963563157777, 0.0011638788324561057, 0.0021464679616227176, 0.0011657820767464442, 0.002161690975490731, 0.0012046612411375894, 0.002210462367109183, 0.001262389506246684, 0.0022736172836043274, 0.0013288095295726104, 0.00234017669650002, 0.0013997285418635187, 0.0023938140785133436, 0.0014802316342934154, 0.00229430427719656, 0.001801240935809036, 0.002352707000441727, 0.0018804331446189452, 0.002215248306283102, 0.0018742918273909656, 0.002391708497683917, 0.0019134118432869792]"
11,"[0, 0.02003208945287133, 0.020031464489857084, 0.020030745293641433, 0.02002994725302247, 0.020029042507778854, 0.020027973938660647, 0.020026606335029364, 0.02002450717103531, 0.020020423741720705, 0.020021837342057126, 0.02002277612896353, 0.020022183552158568, 0.02002095219529676, 0.02001928099053325, 0.020017194948554005, 0.019926477689075073, 0.01973898636191451, 0.019506178121937945, 0.01921808514994868, 0.018867641244321862, 0.018456086846990738, 0.01799568620152697, 0.017497699357806085, 0.016935359323557556, 0.016083573960070166, 0.013648949298558019, 0.012695885731560195, 0.009076472340850805, 0.016108843890216273, 0.012890152007232921, 0.01919103253323429, 0.017359631430011766, 0.020615157155746376, 0.01928876715905803, 0.018503815398424085, 0.01823812739480741, 0.017362047592064916, 0.01797095081476856, 0.017276485611112963, 0.017839551528656846, 0.017170057123010948, 0.017734723980399193, 0.017104372701471617, 0.01766455291050985, 0.017070295986385316, 0.01762511970912526, 0.01706744644555085, 0.01762107927060984, 0.017115125726720158, 0.017672323912645244, 0.017263808585879566, 0.017559743476947873, 0.01727456782525662, 0.017391434867673826, 0.01732176234361218, 0.01732036219157434, 0.017268452064062068, 0.01748737818131485, 0.01734069754790518]"
12,"[0, 0.015897271290036822, 0.015776759686588808, 0.015640402716930707, 0.015487111143897735, 0.015316217690781194, 0.015128143706605946, 0.014925446447824503, 0.014715702562781803, 0.014547534543059112, 0.014440286848375962, 0.014220973591722823, 0.013987046200343042, 0.013752372050105068, 0.013519977046660964, 0.013291818560728681, 0.01301148123803151, 0.01267558336402757, 0.012309342262373846, 0.01186883431042367, 0.011176920695465503, 0.009187068862187247, 0.007719594678390963, 0.006935547993735031, 0.0036895502178669274, 0.007628162289098621, 0.0059053025885184365, 0.013562669690840422, 0.008276157307964367, 0.010741512304993962, 0.012208171028098154, 0.013947883685036131, 0.015789428298438848, 0.015500295761243331, 0.016529442575679534, 0.014523237314520647, 0.016411256587372566, 0.014674286082246307, 0.015792433171759768, 0.014168872109800541, 0.015417516225390828, 0.013923002143400092, 0.015211186091689945, 0.013789409389428317, 0.015088413366736038, 0.013709238970318487, 0.015009099439672201, 0.013658125898256823, 0.01494922750874871, 0.013627957134782216, 0.014867249613102172, 0.014098529944215888, 0.015430662344148369, 0.014397365072737584, 0.01457133407065953, 0.014232399179444232, 0.014781937205398046, 0.01426727777582518, 0.014702944488591326, 0.014249401164362267]"
13,"[0, 0.007100023714162086, 0.0071569712917448885, 0.007216451395659479, 0.007278896002715857, 0.007344826841366442, 0.00741485750002014, 0.007489956604310725, 0.007572963723027556, 0.007688328543416672, 0.007848323681744944, 0.007960085148063607, 0.008073462782669301, 0.008197140225760137, 0.008334819362587315, 0.008490372221529041, 0.008630565437006072, 0.008754656956376231, 0.008888971592558456, 0.00903414823675129, 0.009189998467084345, 0.00935471874729944, 0.009524278823419424, 0.009692318861812307, 0.009848366557815784, 0.009987528983164365, 0.010113227740054785, 0.010230387322974217, 0.010290603166494815, 0.009578113330342464, 0.004627896771552435, 0.004166747999630193, 0.0020888696465808177, 0.0037134094571985785, 0.0013218463002349719, 0.0025521194912084566, 0.001081409184566494, 0.002027949972621401, 0.0009693406514528493, 0.0018039044220556472, 0.0008164404896019308, 0.0016583413614707479, 0.000766556143820606, 0.0015756199409416676, 0.0007621816615234531, 0.0015215097579369963, 0.0007686052495653491, 0.001480361342578392, 0.0007765239188264077, 0.0014477867959742303, 0.000787795087209109, 0.0014225273447945191, 0.0008230727788749933, 0.0012957956650934102, 0.00110780394253611, 0.001510263272009768, 0.0012978699028467343, 0.0016207083394523152, 0.0012285226814124142, 0.0015965362470547436]"
14,"[0, 0.012693096502827838, 0.01273464640840562, 0.012776609454549937, 0.012819193472625461, 0.012862475389762037, 0.012906610015598103, 0.012952271312455022, 0.013003212250593029, 0.013099727709113424, 0.013259611241931705, 0.013323844147661523, 0.013377327586927446, 0.013434058996694694, 0.013500021739530039, 0.013581887050056267, 0.013627677237077163, 0.013639056624577933, 0.01365804854659105, 0.013683052793805547, 0.013709035263103823, 0.013725469680227049, 0.013711402225170281, 0.013617886781030947, 0.013302965982645314, 0.012113582019476793, 0.003915471860027276, 0.008733557847832916, 0.004364079687695215, 0.007291763908839888, 0.004384936774765074, 0.009197833259386421, 0.006534659128104015, 0.010241859717353016, 0.0068929470092945425, 0.008545978734673375, 0.007643836885156067, 0.00829831657634994, 0.007391589295508018, 0.007925598940179775, 0.007132922991543519, 0.007726524847374382, 0.0070042215128000304, 0.0076215379193737805, 0.006947557013334008, 0.007563092775284218, 0.0069273303103633286, 0.007527395652046398, 0.006927850376303319, 0.007505047808537017, 0.006947940647700162, 0.007500064165324812, 0.007022842935542641, 0.007498913925871204, 0.00759859072223896, 0.0076474237231186635, 0.007120846538580505, 0.007536787843306147, 0.00768312981441429, 0.007718163521936713]"
15,"[0, 0.01601905589531032, 0.0160115471105279, 0.01600344254096122, 0.015995236931228663, 0.01598737778952165, 0.015980458235659672, 0.015975752178507857, 0.015978320418003945, 0.016037863132712722, 0.016175733804633146, 0.016197460952269895, 0.016206873637124978, 0.016219443844611464, 0.016239238906103758, 0.01626939595256296, 0.016241648442839023, 0.016152689262262498, 0.016047816224619614, 0.015921028793201467, 0.015763491253102634, 0.015561678929732689, 0.015294727575922863, 0.014921483154416854, 0.014337819146545486, 0.013120478425224626, 0.005912561061116144, 0.006021725845253357, 0.0064399254769983314, 0.0024556318057152118, 0.008841797959650814, 0.007027125764185621, 0.01200793272428829, 0.008853731671252923, 0.012385283961296146, 0.010781192200074714, 0.012312599539990686, 0.011105171782168573, 0.011843344915864243, 0.010534226847391918, 0.01144505212139885, 0.01025505295699676, 0.011247164917543948, 0.010121211945762496, 0.0111696761370353, 0.01006984615267316, 0.01115562573669624, 0.01006670813298231, 0.011173403556130767, 0.010106348718410868, 0.011212522786634276, 0.010285503708573623, 0.01118564723153401, 0.010440933285540157, 0.011116116703181548, 0.010530866017412079, 0.010992630897361596, 0.010479987403470383, 0.011200210779410198, 0.010550698555596939]"
16,"[0, 0.007463763854791979, 0.007412206786372514, 0.007360055494445158, 0.007307933764729828, 0.007256012420446783, 0.007204517211316089, 0.007153980614069374, 0.007106607117123755, 0.007084226306784928, 0.007095299135627143, 0.007054533255455762, 0.007008689460705939, 0.006964852338225723, 0.006925260335349605, 0.006892062856372324, 0.006837916020743472, 0.006764522903811198, 0.006695450855420749, 0.006635780240724072, 0.006597144791026729, 0.006612472487056048, 0.006822134230962141, 0.008015051884123492, 0.0038216919432840367, 0.007192222385437469, 0.006572188747839156, 0.011768689385614425, 0.00988087604902015, 0.009994210821354864, 0.014664281870881356, 0.01377712776580986, 0.01652301341065274, 0.014398070782170496, 0.01674215398517891, 0.014431421887753386, 0.01650655868798477, 0.014841061739859388, 0.01606213991515192, 0.014329682731202699, 0.015674609595050484, 0.014086331620260033, 0.01546900995014979, 0.01396896379867906, 0.015363705858567184, 0.013916058179126192, 0.01531410852063758, 0.013902680051691724, 0.015298601155694596, 0.0139390036944081, 0.01532110209655587, 0.014324775387795235, 0.01555977697112091, 0.014526737682041272, 0.015031131139207747, 0.01449794107699335, 0.015083464315245506, 0.014467658047393162, 0.015134079151322161, 0.014504479876070972]"
17,"[0, 0.009298588146537097, 0.009759960690597676, 0.010013222930337663, 0.010150705235143866, 0.010250313043718522, 0.010338671800248304, 0.010425739976481642, 0.010518567595880716, 0.010651955361250652, 0.010842259062354939, 0.010960039885706705, 0.011072704284750786, 0.011189330575552074, 0.011311005389380638, 0.011438119457583057, 0.011521132620087342, 0.011556668645212473, 0.011579415520715874, 0.01159202747736428, 0.011599710900199714, 0.011610778263808423, 0.01163695245942274, 0.011684395144135084, 0.01172715865978224, 0.011692621188753112, 0.00900459483047863, 0.0028295324702033945, 0.007849579018246079, 0.0022229032956073255, 0.0055143290265901234, 0.0033446565460469526, 0.005481843226835135, 0.004423286897416847, 0.005459242086534382, 0.005207393319995095, 0.004632836731421141, 0.004483468758286928, 0.003922069581001063, 0.0039430911043410784, 0.003463938582176845, 0.0036236482838698527, 0.003193104318475639, 0.00343880088316511, 0.003039956735490772, 0.0033387759029986476, 0.002962646930271907, 0.0032937101082573202, 0.0029374139476365515, 0.0032859967667217523, 0.0029540047218955946, 0.0033048913197050245, 0.0030644197096285713, 0.0032738802680310278, 0.0037835021578786943, 0.0036412731100358034, 0.0035848483075215367, 0.0035987164524719523, 0.003853227664078705, 0.0037412144050040508]"
18,"[0, 0.001806609999841718, 0.001846366827825589, 0.0018889682121074605, 0.0019346375679491325, 0.001983837888647619, 0.0020371112806877026, 0.0020951445803841394, 0.0021592319779590746, 0.002237116415692912, 0.0023338609993851346, 0.002423149187709936, 0.0025201100195515395, 0.0026287782513725773, 0.0027523540838560352, 0.0028950359665619986, 0.0030494460883611235, 0.00322002657211968, 0.0034250292754582504, 0.0036826584782337093, 0.004031055147673525, 0.004562929920739215, 0.005422566985626668, 0.006265787678939084, 0.006490368103288134, 0.005373472891562171, 0.0059678452374028615, 0.005188654813726723, 0.005690368539333672, 0.0020069573363469878, 0.0029456145433520375, 0.002080315743000265, 0.0019195192388722104, 0.0023796943758668154, 0.0023337713629158247, 0.0008880080847515685, 0.002070199156228868, 0.0013491605144195895, 0.002153356228137188, 0.0014498824169661597, 0.002175461296207954, 0.0015236401049936348, 0.0022093730101882163, 0.001576230903414217, 0.0022463282060162268, 0.0016114980845150237, 0.002284216719333791, 0.0016378920288761796, 0.0023240260738431767, 0.0016639531261784942, 0.002355890609165046, 0.0017014368390763895, 0.0022215481170022597, 0.001984217093951689, 0.0022509813434730304, 0.0020523754489230987, 0.0020574310787804012, 0.0020285212400200448, 0.002248467288927039, 0.002048209054431366]"
19,"[0, 0.004485385793122978, 0.004533957312927453, 0.004585742512151382, 0.004641300973925488, 0.004701151936982378, 0.004765934356958477, 0.004836566361739726, 0.004915218583842962, 0.00501821336701819, 0.005154295848072988, 0.005263374768848953, 0.005378105464907143, 0.005504466270682829, 0.005645205414296671, 0.005803131318874601, 0.005955330100844386, 0.006100104624367547, 0.006254551152705318, 0.0064186291593166, 0.006592651318153348, 0.006777772367131085, 0.00697664116375046, 0.007192876826195249, 0.007429637570448531, 0.0077048542430488585, 0.008090237235029451, 0.008679763202450109, 0.008718347648412035, 0.004956096228549109, 0.0046514417663937584, 0.0027955956252600526, 0.0021238823422240903, 0.0025993305967243765, 0.0014725099252988333, 0.001599951812011505, 0.0005017843006307345, 0.001084775773678044, 0.000266766540481747, 0.0009312920929808228, 0.00012943995318867406, 0.0008096002115840887, 0.00017568418710337197, 0.000722998030107882, 0.000251175230650456, 0.0006542687339483929, 0.0003131708664124661, 0.0005955962798654755, 0.0003625276722429583, 0.0005462461124690139, 0.00039418128148316524, 0.0005068021099169448, 0.00032793555561867006, 0.00021823811819065257, 0.0003790083666691459, 0.00042024977788363027, 0.000760842003198328, 0.0007436125645123433, 0.0008844398045077219, 0.000876557042256183]"
