,v
10,"[0, 0.01340755364499471, 0.013319635601286134, 0.013237067132059022, 0.01315837383295652, 0.013082435083459748, 0.013008389118772093, 0.01293559852689653, 0.012863623950036254, 0.012792196636501453, 0.01272118801118833, 0.012650575535692262, 0.01258036051612577, 0.01251054187741191, 0.012441260961623159, 0.012372591966441013, 0.012304533873980924, 0.012236989890747625, 0.012169736616359917, 0.012102384278203607, 0.012034320339040552, 0.01196462036554723, 0.011891896701194457, 0.011814037278442553, 0.011727772829852283, 0.011627986762188305, 0.011504839791437687, 0.011346301673843926, 0.010784917627933988, 0.010578757718536428, 0.00927073343275795, 0.009265835101063337, 0.011593531742468622, 0.01370110663261832, 0.016233479857079153, 0.013864985251998849, 0.013419307826907657, 0.01333211674596209, 0.01366794547286523, 0.013256234709782997, 0.01370908835954977, 0.0132003073793658, 0.01368797144970345, 0.013125122854498303, 0.01361807915212171, 0.013003744358355114, 0.013463981451797006, 0.013558657530236485, 0.013549490913987898, 0.013658997497681874, 0.013652537409827836, 0.013561452899706774, 0.013664151815985978, 0.01349928868753279, 0.01364015620113556, 0.013444667389190224, 0.013595337091712616, 0.013387663109990783, 0.013538386585149281, 0.013327516161441648]"
11,"[0, 0.0175171339271867, 0.017531760644027897, 0.017546372299873835, 0.01756078347058149, 0.017574839095685732, 0.017588311850775678, 0.017600839115370612, 0.017611702636496744, 0.01761888183185005, 0.017612949738269844, 0.017537877044975496, 0.017462436882543418, 0.017454578323859264, 0.01745580400382912, 0.01745626283942542, 0.017453290137629678, 0.017445121686657024, 0.017429817308806897, 0.017404795035114974, 0.017366312738898604, 0.017308514745684893, 0.017220979946924748, 0.01707902713231716, 0.01676160729694818, 0.01544120933107458, 0.015099669523498028, 0.014728089356733262, 0.013856599400974175, 0.01307937519302516, 0.012358278122555947, 0.011794362325505833, 0.008821374986684586, 0.012149461599009929, 0.01818778127642542, 0.020587139450158075, 0.01793049329966668, 0.019787485500614703, 0.018047988956393212, 0.01942919084321571, 0.018016110870844645, 0.019191524748770065, 0.017897177574216414, 0.018989406229774776, 0.01775106027683257, 0.018698712918213744, 0.017699441484184952, 0.01733712450082612, 0.017870564269234387, 0.017724426288509506, 0.01777187159869429, 0.017733957220621318, 0.01770944067375947, 0.01768324937140241, 0.017646135366589502, 0.017615640308768808, 0.017576372448093777, 0.0175424861156555, 0.0174990624812475, 0.017458449972580458]"
12,"[0, 0.014059289981231873, 0.013991121403091339, 0.013915416330814041, 0.013831145823554575, 0.013737326758598104, 0.013633206715452314, 0.013518464499648964, 0.013393288408181044, 0.01325827324867343, 0.013114098522382815, 0.012961067617720824, 0.012798692396174479, 0.012625681853124895, 0.012439891613581305, 0.012238546252511624, 0.012018582654640184, 0.011777013124482228, 0.011511368068212636, 0.011220103129247901, 0.010902328572437047, 0.010555102625774141, 0.010164886736053178, 0.00968794869608487, 0.009020109554701389, 0.007919294523852583, 0.007559493755237721, 0.0029428331845103924, 0.014468104599526493, 0.0045875595189445815, 0.01406761512517236, 0.0067885769803646585, 0.014631540746909042, 0.014679141539073765, 0.016765215240548817, 0.016845552203625328, 0.014226745661265661, 0.01572752379770752, 0.014896872081915659, 0.015573413935410013, 0.01505481331060656, 0.015540111839175377, 0.015100944516427173, 0.015495569149451457, 0.015089807327664656, 0.015375833634368773, 0.015073921596596323, 0.01436292711532787, 0.014955324845844007, 0.01468487891839285, 0.015015681056486195, 0.014756125383459766, 0.015057878349835583, 0.014762951391355012, 0.014989629196794104, 0.014655462481581786, 0.014841379719278267, 0.014540551950816381, 0.01473542465942927, 0.014467509912407403]"
13,"[0, 0.005679689117329578, 0.005745144806832957, 0.00581360406290527, 0.005885288683307572, 0.005960491182631516, 0.0060395335284949715, 0.006122778681867172, 0.006210638951175523, 0.006303583404686297, 0.006402145990997961, 0.006506934552232381, 0.00661861459382202, 0.006737897122600927, 0.006865670465565254, 0.0070028983006961525, 0.007150625359102447, 0.007309975967255202, 0.007482144576670399, 0.007668385746113777, 0.007870011382748544, 0.008088403767284197, 0.008325042392503725, 0.008581497753512603, 0.008859222354999434, 0.009158686191765658, 0.009477172841199664, 0.009804196083342718, 0.009998822579692902, 0.010131942443573426, 0.01018539271866218, 0.01019622612906933, 0.009779658548405607, 0.0031431579535280284, 0.005719887636866896, 0.005885864184669118, 0.004018895775108436, 0.005094208913320645, 0.0041281741499141844, 0.00501470788271916, 0.004175802018094762, 0.005055390942214134, 0.0041762120220823025, 0.00503745255275049, 0.004143157003475795, 0.004969856543857222, 0.004080380374295166, 0.004567333929743697, 0.004073714739463303, 0.004400865139844162, 0.004164771277661993, 0.004317963130465954, 0.004192651438149215, 0.004292371073542111, 0.004208903197012033, 0.004283694605247424, 0.004211504000863439, 0.004269064814078222, 0.004198278971597168, 0.004246175754499105]"
14,"[0, 0.013149588029432151, 0.013136859231366751, 0.013120651081969047, 0.013100275531229376, 0.0130750360905467, 0.013044084835258797, 0.013006461592203917, 0.012961217766425094, 0.01290763853434515, 0.012845589610247904, 0.012775951751686212, 0.012700964154650007, 0.012624439910839298, 0.012550976040505826, 0.012484758885858255, 0.012428496129016038, 0.012382920476118296, 0.012347009908161934, 0.012318580495518986, 0.012294844409666524, 0.012272661547749772, 0.012248207899078354, 0.012215292863899241, 0.012159579218607018, 0.012037712378477231, 0.01167205055011224, 0.008554309656439307, 0.00228099653723063, 0.009713392749022118, 0.0008580829460953022, 0.009913779108716951, 0.0063293890948717775, 0.010179533311373253, 0.011793291537395814, 0.009464347843910313, 0.009099122360264231, 0.00950872210561467, 0.009445306268416635, 0.009244554999940187, 0.009449752707314666, 0.009112840820076915, 0.00943354993429113, 0.009034064191245255, 0.00939520426926401, 0.008953945864722484, 0.009318125071335084, 0.008878562361281272, 0.009221750119159426, 0.009501387458667462, 0.009373420944518302, 0.009426830424358608, 0.009387341595372883, 0.009413668279392613, 0.00939604493361521, 0.009424307385415475, 0.009409511550793644, 0.009446502094521756, 0.009428196049273136, 0.009471058028594553]"
15,"[0, 0.015648986173333993, 0.015606865833221923, 0.01556238763065438, 0.015515611886552023, 0.015466669326738753, 0.015415657765477927, 0.015362649396507236, 0.01530770239349351, 0.01525086034308323, 0.015192142816890922, 0.015131528847296797, 0.015068910267880242, 0.015004093263016934, 0.01493685261899212, 0.014866816932938126, 0.014793462361579985, 0.014716090895624106, 0.014633789021692505, 0.014545344608849034, 0.014449066037004007, 0.014342375334647408, 0.014220862711463372, 0.014075929910756825, 0.0138880090616878, 0.01360078893041851, 0.012863695030734923, 0.010444970367054655, 0.006154007216144743, 0.009733059128332456, 0.004418141012092848, 0.008865660970946328, 0.009277708861958485, 0.01142642356175838, 0.013952980564524214, 0.01065473191611002, 0.009962475371280774, 0.010346989237649505, 0.010926304753112296, 0.010512890582279699, 0.01115745728037486, 0.010554770895985, 0.01121101027669054, 0.010511021671723804, 0.011158359259781205, 0.010377851296012722, 0.010998768643330931, 0.010426275314008679, 0.010960457366137875, 0.010825255838496167, 0.010903783027983609, 0.01068041073173377, 0.010843167377949475, 0.010577083604476147, 0.010775317196211547, 0.010485750328630071, 0.010700536433535877, 0.010397580731218093, 0.010626657458732367, 0.010317684591278263]"
16,"[0, 0.008277396825643319, 0.00815738161296956, 0.00803500219222287, 0.007910058245290655, 0.007782587598465533, 0.007652606796088853, 0.007520122869893595, 0.00738515477199843, 0.007247740496015159, 0.00710793220968886, 0.0069657653717709956, 0.006821201493982995, 0.006674555903378119, 0.006525982906088921, 0.006375528312848394, 0.0062232082622996916, 0.006068985011646568, 0.00591274304251523, 0.005754267862703967, 0.005593248369245419, 0.005429374736193742, 0.005262751578053695, 0.005095365434974127, 0.00493666498605695, 0.0048290559879916786, 0.004998619276527568, 0.0073276437786239795, 0.005318892347088793, 0.010196646782103743, 0.0062996574366107885, 0.013128265703001778, 0.015757153252146903, 0.01839833743364984, 0.021312381220357873, 0.018608867874605844, 0.017088975368883777, 0.016908815237353582, 0.017008939748931133, 0.01712377272222634, 0.017065948121147, 0.017164973648889182, 0.01699466521199298, 0.017079535351987633, 0.01686511810550425, 0.01693999429008983, 0.016724867714321086, 0.016371160009559474, 0.016519754450633597, 0.016686599207749096, 0.016465089724035167, 0.016623885385088695, 0.01643069831781156, 0.01655266636947241, 0.01638057222365124, 0.016482706011673277, 0.016316279631533405, 0.016406925068159793, 0.016241462545335896, 0.016325039690942067]"
17,"[0, 0.00945941383726269, 0.009711373549098306, 0.009920214694200557, 0.01006240684460976, 0.010152683918453056, 0.010212769738629255, 0.010257107743207825, 0.010293579234240359, 0.010326395204693707, 0.010357939988539492, 0.01038970707072907, 0.01042273246606549, 0.010457848751320923, 0.010495729712499782, 0.010536808365275353, 0.010581124838946774, 0.010627998755804512, 0.010675498756791902, 0.010719754602769586, 0.01075438360380757, 0.010770588885653918, 0.010758324567521701, 0.010707572018949799, 0.010606319148793885, 0.010427331173604146, 0.010084794436273211, 0.009198570676620962, 0.0032062555364908408, 0.007519109760250891, 0.003993971786338572, 0.005798652799582749, 0.006245287097810037, 0.006920253279161776, 0.009184632180056282, 0.006638059074518724, 0.006794097047625913, 0.006718008493815762, 0.007315641518738968, 0.006622821054504947, 0.007319351923048223, 0.00653863991413446, 0.0072550911284908984, 0.0064583972282805805, 0.007167740852756552, 0.006369545841254886, 0.007048925614580051, 0.006151835168705806, 0.006788944327785152, 0.0071214985785573405, 0.007030173031698111, 0.006951401742260668, 0.007042694256519866, 0.006914452418700919, 0.0070313138197754315, 0.006896079221487974, 0.007013106692354233, 0.006880277786414964, 0.006993176334945398, 0.006866450312210329]"
18,"[0, 0.0011834988084064135, 0.0012189419637574591, 0.0012565479289613545, 0.0012965339296668124, 0.0013391328623899943, 0.001384619643591578, 0.0014333251604610397, 0.0014856445166114168, 0.0015420490674986633, 0.001603105212092896, 0.00166950389619263, 0.0017420871372819, 0.0018218232286162264, 0.0019100154465239718, 0.0020083182295024247, 0.0021188625088424205, 0.0022444668120079766, 0.0023889763332842146, 0.0025578411274637092, 0.0027591522652892853, 0.003005593724197039, 0.0033182408224992008, 0.0037333501503030862, 0.004306053742279679, 0.005071742709593444, 0.00621745988107067, 0.0076913807896016465, 0.007270993746340698, 0.006445857724560989, 0.005393718711421025, 0.0043511290580015545, 0.005186431103009641, 0.004271009005887705, 0.0046495544009773505, 0.0050602188598316954, 0.003357100500182799, 0.004457239132258909, 0.0035570585513797852, 0.0043629319108133766, 0.0035819859013939315, 0.004376764523915717, 0.0035606077063002266, 0.004360261119077163, 0.0035276343875463062, 0.004303947275631037, 0.00347292482543226, 0.003960492771246069, 0.0034757066540461313, 0.003822195414798666, 0.0035763247935044784, 0.0037639963680277605, 0.003644716487357761, 0.0037387874787360997, 0.003673730316578085, 0.003722346583667952, 0.00367886633193346, 0.00370574838101848, 0.0036695626318813965, 0.0036849787578088727]"
19,"[0, 0.004214398170406594, 0.004287185396543884, 0.004363452929503043, 0.004443493735389376, 0.004527661881267233, 0.004616345611933603, 0.004709966073285928, 0.004808977711288483, 0.004913869579779203, 0.005025166535292952, 0.005143424334310044, 0.005269213792281712, 0.005403278568444803, 0.005546376765515272, 0.005699267317294337, 0.005862670003774625, 0.0060371311402523335, 0.006222823488889826, 0.006419306262172236, 0.006625323783612425, 0.00683877575179994, 0.0070569820370264364, 0.0072771986716700385, 0.0074969759405834, 0.007713117621575932, 0.00791747851451079, 0.00808879429943667, 0.007942537937860093, 0.007960257461237802, 0.006981684059845457, 0.006038930142520664, 0.009363340677936332, 0.009217156086595162, 0.009881579318670489, 0.010156055976459317, 0.008178982441698021, 0.00963688402039277, 0.008223489360621868, 0.009507564256235864, 0.008304399530491042, 0.009431290442733069, 0.008313387658419713, 0.009354969504071765, 0.008278137774710355, 0.009224040052416333, 0.008187748813697895, 0.008493260692284569, 0.008130852390299424, 0.008398085901646936, 0.00822931361588678, 0.008331198639448993, 0.00824550427206335, 0.008288835267087702, 0.008226654613023396, 0.0082473328770985, 0.008189787429296587, 0.008201533230654258, 0.00814503882741429, 0.008153507421069073]"
